# MDIFFRAD radiative correction results
# Generated by RunMDiffradNew
#
# Conventions:
#   tprime_*  = positive  (mtprime = |t| - |tmin|)
#   t_abs_*   = positive  (= tprime + tmin_abs)
#   t_phys_*  = negative  (= -t_abs, matches RDF 't' column)
#   W2c, xBc, Wc are evaluated at (Q2c, W2_centre)
#   rad_corr = delta_RC  (Born / observed cross-section ratio)
#   rdf_filter can be pasted directly into RDataFrame::Filter()
#
# beam_momentum_GeV = 10.60000038
# W2_range_GeV2     = 4.00000000 12.25000000
#
iQ2,itp,Q2_lo,Q2_hi,Q2_c,tprime_lo,tprime_hi,tprime_c,t_abs_lo,t_abs_hi,t_abs_c,t_phys_lo,t_phys_hi,t_phys_c,tmin_abs,W2_lo,W2_hi,W2_c,xBc,Wc,rad_corr,rad_corr_sigma,rad_corr_sem,nsamp,rdf_filter
1,5,1.15333333,1.68000000,1.41666666,0.83316667,1.05766667,0.94541667,0.90576737,1.13026737,1.01801737,-1.13026737,-0.90576737,-1.01801737,0.07260070,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70466667,0.00057735,0.00033333,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.833167 && mtprime < 1.057667"
1,6,1.15333333,1.68000000,1.41666666,1.05766667,1.28216667,1.16991667,1.13026737,1.35476737,1.24251737,-1.35476737,-1.13026737,-1.24251737,0.07260070,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70500000,0.00000000,0.00000000,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 1.057667 && mtprime < 1.282167"
1,7,1.15333333,1.68000000,1.41666666,1.28216667,1.73116667,1.50666667,1.35476737,1.80376737,1.57926737,-1.80376737,-1.35476737,-1.57926737,0.07260070,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70633333,0.00208167,0.00120185,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 1.282167 && mtprime < 1.731167"
1,8,1.15333333,1.68000000,1.41666666,1.73116667,4.50000000,3.11558334,1.80376737,4.57260070,3.18818403,-4.57260070,-1.80376737,-3.18818403,0.07260070,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70633333,0.00057735,0.00033333,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 1.731167 && mtprime < 4.500000"
2,0,1.68000000,2.60166667,2.14083333,0.01000000,0.38416667,0.19708333,0.13172508,0.50589175,0.31880841,-0.50589175,-0.13172508,-0.31880841,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.69900000,0.00200000,0.00115470,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.010000 && mtprime < 0.384167"
2,1,1.68000000,2.60166667,2.14083333,0.38416667,0.45900000,0.42158334,0.50589175,0.58072508,0.54330841,-0.58072508,-0.50589175,-0.54330841,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70000000,0.00173205,0.00100000,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.384167 && mtprime < 0.459000"
2,2,1.68000000,2.60166667,2.14083333,0.45900000,0.60866667,0.53383333,0.58072508,0.73039175,0.65555841,-0.73039175,-0.58072508,-0.65555841,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70066667,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.459000 && mtprime < 0.608667"
2,3,1.68000000,2.60166667,2.14083333,0.60866667,0.68350000,0.64608333,0.73039175,0.80522508,0.76780841,-0.80522508,-0.73039175,-0.76780841,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70033333,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.608667 && mtprime < 0.683500"
2,4,1.68000000,2.60166667,2.14083333,0.68350000,0.83316667,0.75833333,0.80522508,0.95489175,0.88005841,-0.95489175,-0.80522508,-0.88005841,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70100000,0.00100000,0.00057735,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.683500 && mtprime < 0.833167"
2,5,1.68000000,2.60166667,2.14083333,0.83316667,1.05766667,0.94541667,0.95489175,1.17939175,1.06714175,-1.17939175,-0.95489175,-1.06714175,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70166667,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.833167 && mtprime < 1.057667"
2,6,1.68000000,2.60166667,2.14083333,1.05766667,1.28216667,1.16991667,1.17939175,1.40389175,1.29164175,-1.40389175,-1.17939175,-1.29164175,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70133333,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 1.057667 && mtprime < 1.282167"
2,7,1.68000000,2.60166667,2.14083333,1.28216667,1.73116667,1.50666667,1.40389175,1.85289175,1.62839175,-1.85289175,-1.40389175,-1.62839175,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70166667,0.00152753,0.00088192,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 1.282167 && mtprime < 1.731167"
2,8,1.68000000,2.60166667,2.14083333,1.73116667,4.50000000,3.11558334,1.85289175,4.62172508,3.23730841,-4.62172508,-1.85289175,-3.23730841,0.12172508,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70166667,0.00152753,0.00088192,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 1.731167 && mtprime < 4.500000"
3,0,2.60166667,8.00000000,5.30083334,0.01000000,0.38416667,0.19708333,0.49381046,0.86797713,0.68089380,-0.86797713,-0.49381046,-0.68089380,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.69800000,0.00264575,0.00152753,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.010000 && mtprime < 0.384167"
3,1,2.60166667,8.00000000,5.30083334,0.38416667,0.45900000,0.42158334,0.86797713,0.94281046,0.90539380,-0.94281046,-0.86797713,-0.90539380,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.69933333,0.00057735,0.00033333,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.384167 && mtprime < 0.459000"
3,2,2.60166667,8.00000000,5.30083334,0.45900000,0.60866667,0.53383333,0.94281046,1.09247713,1.01764380,-1.09247713,-0.94281046,-1.01764380,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.69766667,0.00208167,0.00120185,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.459000 && mtprime < 0.608667"
3,3,2.60166667,8.00000000,5.30083334,0.60866667,0.68350000,0.64608333,1.09247713,1.16731046,1.12989380,-1.16731046,-1.09247713,-1.12989380,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.70200000,0.00000000,0.00000000,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.608667 && mtprime < 0.683500"
3,4,2.60166667,8.00000000,5.30083334,0.68350000,0.83316667,0.75833333,1.16731046,1.31697713,1.24214380,-1.31697713,-1.16731046,-1.24214380,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.69733333,0.00321455,0.00185592,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.683500 && mtprime < 0.833167"
3,5,2.60166667,8.00000000,5.30083334,0.83316667,1.05766667,0.94541667,1.31697713,1.54147713,1.42922713,-1.54147713,-1.31697713,-1.42922713,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.70000000,0.00624500,0.00360555,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.833167 && mtprime < 1.057667"
3,6,2.60166667,8.00000000,5.30083334,1.05766667,1.28216667,1.16991667,1.54147713,1.76597713,1.65372713,-1.76597713,-1.54147713,-1.65372713,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.69566667,0.00493288,0.00284800,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 1.057667 && mtprime < 1.282167"
3,7,2.60166667,8.00000000,5.30083334,1.28216667,1.73116667,1.50666667,1.76597713,2.21497713,1.99047713,-2.21497713,-1.76597713,-1.99047713,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.69366667,0.00832666,0.00480740,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 1.282167 && mtprime < 1.731167"
3,8,2.60166667,8.00000000,5.30083334,1.73116667,4.50000000,3.11558334,2.21497713,4.98381046,3.59939380,-4.98381046,-2.21497713,-3.59939380,0.48381046,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.69300000,0.01000000,0.00577350,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 1.731167 && mtprime < 4.500000"
