# MDIFFRAD radiative correction results
# Generated by RunMDiffradNew
#
# Conventions:
#   tprime_*  = positive  (mtprime = |t| - |tmin|)
#   t_abs_*   = positive  (= tprime + tmin_abs)
#   t_phys_*  = negative  (= -t_abs, matches RDF 't' column)
#   W2c, xBc, Wc are evaluated at (Q2c, W2_centre)
#   rad_corr = delta_RC  (Born / observed cross-section ratio)
#   rdf_filter can be pasted directly into RDataFrame::Filter()
#
# beam_momentum_GeV = 10.19979954
# W2_range_GeV2     = 4.00000000 12.25000000
#
iQ2,itp,Q2_lo,Q2_hi,Q2_c,tprime_lo,tprime_hi,tprime_c,t_abs_lo,t_abs_hi,t_abs_c,t_phys_lo,t_phys_hi,t_phys_c,tmin_abs,W2_lo,W2_hi,W2_c,xBc,Wc,rad_corr,rad_corr_sigma,rad_corr_sem,nsamp,rdf_filter
0,0,0.10000000,1.15333333,0.62666667,0.01000000,0.38416667,0.19708333,0.04466048,0.41882715,0.23174382,-0.41882715,-0.04466048,-0.23174382,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73066667,0.00152753,0.00088192,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.010000 && mtprime < 0.384167"
0,1,0.10000000,1.15333333,0.62666667,0.38416667,0.45900000,0.42158334,0.41882715,0.49366048,0.45624382,-0.49366048,-0.41882715,-0.45624382,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72900000,0.00100000,0.00057735,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.384167 && mtprime < 0.459000"
0,2,0.10000000,1.15333333,0.62666667,0.45900000,0.60866667,0.53383333,0.49366048,0.64332715,0.56849382,-0.64332715,-0.49366048,-0.56849382,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.72966667,0.00057735,0.00033333,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.459000 && mtprime < 0.608667"
0,3,0.10000000,1.15333333,0.62666667,0.60866667,0.68350000,0.64608333,0.64332715,0.71816048,0.68074382,-0.71816048,-0.64332715,-0.68074382,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73133333,0.00057735,0.00033333,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.608667 && mtprime < 0.683500"
0,4,0.10000000,1.15333333,0.62666667,0.68350000,0.83316667,0.75833333,0.71816048,0.86782715,0.79299382,-0.86782715,-0.71816048,-0.79299382,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73066667,0.00152753,0.00088192,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.683500 && mtprime < 0.833167"
0,5,0.10000000,1.15333333,0.62666667,0.83316667,1.05766667,0.94541667,0.86782715,1.09232715,0.98007715,-1.09232715,-0.86782715,-0.98007715,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73200000,0.00173205,0.00100000,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 0.833167 && mtprime < 1.057667"
0,6,0.10000000,1.15333333,0.62666667,1.05766667,1.28216667,1.16991667,1.09232715,1.31682715,1.20457715,-1.31682715,-1.09232715,-1.20457715,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73066667,0.00550757,0.00317980,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 1.057667 && mtprime < 1.282167"
0,7,0.10000000,1.15333333,0.62666667,1.28216667,1.73116667,1.50666667,1.31682715,1.76582715,1.54132715,-1.76582715,-1.31682715,-1.54132715,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73900000,0.00264575,0.00152753,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 1.282167 && mtprime < 1.731167"
0,8,0.10000000,1.15333333,0.62666667,1.73116667,4.50000000,3.11558334,1.76582715,4.53466048,3.15024382,-4.53466048,-1.76582715,-3.15024382,0.03466048,4.00000000,12.25000000,8.12500000,0.07961400,2.85043856,0.73400000,0.00655744,0.00378594,3,"Q2 >= 0.100000 && Q2 < 1.153333 && mtprime >= 1.731167 && mtprime < 4.500000"
1,0,1.15333333,1.68000000,1.41666666,0.01000000,0.38416667,0.19708333,0.08532401,0.45949068,0.27240735,-0.45949068,-0.08532401,-0.27240735,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70700000,0.00000000,0.00000000,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.010000 && mtprime < 0.384167"
1,1,1.15333333,1.68000000,1.41666666,0.38416667,0.45900000,0.42158334,0.45949068,0.53432401,0.49690735,-0.53432401,-0.45949068,-0.49690735,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70566667,0.00057735,0.00033333,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.384167 && mtprime < 0.459000"
1,2,1.15333333,1.68000000,1.41666666,0.45900000,0.60866667,0.53383333,0.53432401,0.68399068,0.60915735,-0.68399068,-0.53432401,-0.60915735,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70566667,0.00057735,0.00033333,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.459000 && mtprime < 0.608667"
1,3,1.15333333,1.68000000,1.41666666,0.60866667,0.68350000,0.64608333,0.68399068,0.75882401,0.72140735,-0.75882401,-0.68399068,-0.72140735,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70633333,0.00057735,0.00033333,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.608667 && mtprime < 0.683500"
1,4,1.15333333,1.68000000,1.41666666,0.68350000,0.83316667,0.75833333,0.75882401,0.90849068,0.83365735,-0.90849068,-0.75882401,-0.83365735,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70700000,0.00173205,0.00100000,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.683500 && mtprime < 0.833167"
1,5,1.15333333,1.68000000,1.41666666,0.83316667,1.05766667,0.94541667,0.90849068,1.13299068,1.02074068,-1.13299068,-0.90849068,-1.02074068,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70766667,0.00057735,0.00033333,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 0.833167 && mtprime < 1.057667"
1,6,1.15333333,1.68000000,1.41666666,1.05766667,1.28216667,1.16991667,1.13299068,1.35749068,1.24524068,-1.35749068,-1.13299068,-1.24524068,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70733333,0.00057735,0.00033333,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 1.057667 && mtprime < 1.282167"
1,7,1.15333333,1.68000000,1.41666666,1.28216667,1.73116667,1.50666667,1.35749068,1.80649068,1.58199068,-1.80649068,-1.35749068,-1.58199068,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70866667,0.00152753,0.00088192,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 1.282167 && mtprime < 1.731167"
1,8,1.15333333,1.68000000,1.41666666,1.73116667,4.50000000,3.11558334,1.80649068,4.57532401,3.19090735,-4.57532401,-1.80649068,-3.19090735,0.07532401,4.00000000,12.25000000,8.12500000,0.16356259,2.85043856,0.70900000,0.00000000,0.00000000,3,"Q2 >= 1.153333 && Q2 < 1.680000 && mtprime >= 1.731167 && mtprime < 4.500000"
2,0,1.68000000,2.60166667,2.14083333,0.01000000,0.38416667,0.19708333,0.13629109,0.51045776,0.32337442,-0.51045776,-0.13629109,-0.32337442,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70166667,0.00152753,0.00088192,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.010000 && mtprime < 0.384167"
2,1,1.68000000,2.60166667,2.14083333,0.38416667,0.45900000,0.42158334,0.51045776,0.58529109,0.54787442,-0.58529109,-0.51045776,-0.54787442,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70300000,0.00173205,0.00100000,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.384167 && mtprime < 0.459000"
2,2,1.68000000,2.60166667,2.14083333,0.45900000,0.60866667,0.53383333,0.58529109,0.73495776,0.66012442,-0.73495776,-0.58529109,-0.66012442,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70333333,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.459000 && mtprime < 0.608667"
2,3,1.68000000,2.60166667,2.14083333,0.60866667,0.68350000,0.64608333,0.73495776,0.80979109,0.77237442,-0.80979109,-0.73495776,-0.77237442,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70333333,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.608667 && mtprime < 0.683500"
2,4,1.68000000,2.60166667,2.14083333,0.68350000,0.83316667,0.75833333,0.80979109,0.95945776,0.88462442,-0.95945776,-0.80979109,-0.88462442,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70366667,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.683500 && mtprime < 0.833167"
2,5,1.68000000,2.60166667,2.14083333,0.83316667,1.05766667,0.94541667,0.95945776,1.18395776,1.07170776,-1.18395776,-0.95945776,-1.07170776,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70466667,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 0.833167 && mtprime < 1.057667"
2,6,1.68000000,2.60166667,2.14083333,1.05766667,1.28216667,1.16991667,1.18395776,1.40845776,1.29620776,-1.40845776,-1.18395776,-1.29620776,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70366667,0.00057735,0.00033333,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 1.057667 && mtprime < 1.282167"
2,7,1.68000000,2.60166667,2.14083333,1.28216667,1.73116667,1.50666667,1.40845776,1.85745776,1.63295776,-1.85745776,-1.40845776,-1.63295776,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70400000,0.00100000,0.00057735,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 1.282167 && mtprime < 1.731167"
2,8,1.68000000,2.60166667,2.14083333,1.73116667,4.50000000,3.11558334,1.85745776,4.62629109,3.24187442,-4.62629109,-1.85745776,-3.24187442,0.12629109,4.00000000,12.25000000,8.12500000,0.22810060,2.85043856,0.70400000,0.00200000,0.00115470,3,"Q2 >= 1.680000 && Q2 < 2.601667 && mtprime >= 1.731167 && mtprime < 4.500000"
3,0,2.60166667,8.00000000,5.30083334,0.01000000,0.38416667,0.19708333,0.51195860,0.88612527,0.69904194,-0.88612527,-0.51195860,-0.69904194,0.50195860,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.70233333,0.00404145,0.00233333,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.010000 && mtprime < 0.384167"
3,1,2.60166667,8.00000000,5.30083334,0.38416667,0.45900000,0.42158334,0.88612527,0.96095860,0.92354194,-0.96095860,-0.88612527,-0.92354194,0.50195860,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.70133333,0.00115470,0.00066667,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.384167 && mtprime < 0.459000"
3,2,2.60166667,8.00000000,5.30083334,0.45900000,0.60866667,0.53383333,0.96095860,1.11062527,1.03579194,-1.11062527,-0.96095860,-1.03579194,0.50195860,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.70066667,0.00115470,0.00066667,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.459000 && mtprime < 0.608667"
3,3,2.60166667,8.00000000,5.30083334,0.60866667,0.68350000,0.64608333,1.11062527,1.18545860,1.14804194,-1.18545860,-1.11062527,-1.14804194,0.50195860,4.00000000,12.25000000,8.12500000,0.42252938,2.85043856,0.70466667,0.00152753,0.00088192,3,"Q2 >= 2.601667 && Q2 < 8.000000 && mtprime >= 0.608667 && mtprime < 0.683500"
